Date,Open,High,Low,Close,Volume,Adj Close
25/9/06,1314.780029,1329.349976,1311.579956,1326.369995,2710240000,1326.369995
26/9/06,1326.349976,1336.599976,1325.300049,1336.349976,2673350000,1336.349976
27/9/06,1336.119995,1340.079956,1333.540039,1336.589966,2749190000,1336.589966
28/9/06,1336.560059,1340.280029,1333.75,1338.880005,2397820000,1338.880005
29/9/06,1339.150024,1339.880005,1335.640015,1335.849976,2273430000,1335.849976
2/10/06,1335.819946,1338.540039,1330.280029,1331.319946,2154480000,1331.319946
3/10/06,1331.319946,1338.310059,1327.099976,1334.109985,2682690000,1334.109985
4/10/06,1333.810059,1350.199951,1331.47998,1350.199951,3019880000,1350.199951
5/10/06,1349.839966,1353.790039,1347.75,1353.219971,2817240000,1353.219971
6/10/06,1353.219971,1353.219971,1344.209961,1349.589966,2523000000,1349.589966
9/10/06,1349.579956,1352.689941,1346.550049,1350.660034,1935170000,1350.660034
10/10/06,1350.619995,1354.22998,1348.599976,1353.420044,2376140000,1353.420044
11/10/06,1353.280029,1353.969971,1343.569946,1349.949951,2521000000,1349.949951
12/10/06,1349.939941,1363.76001,1349.939941,1362.829956,2514350000,1362.829956
13/10/06,1362.819946,1366.630005,1360.5,1365.619995,2482920000,1365.619995
16/10/06,1365.609985,1370.199951,1364.47998,1369.060059,2305920000,1369.060059
17/10/06,1369.050049,1369.050049,1356.869995,1364.050049,2519620000,1364.050049
18/10/06,1363.930054,1372.869995,1360.949951,1365.800049,2658840000,1365.800049
19/10/06,1365.949951,1368.089966,1362.060059,1366.959961,2619830000,1366.959961
20/10/06,1366.939941,1368.660034,1362.099976,1368.599976,2526410000,1368.599976
23/10/06,1368.579956,1377.400024,1363.939941,1377.02002,2480430000,1377.02002
24/10/06,1377.02002,1377.780029,1372.420044,1377.380005,2876890000,1377.380005
25/10/06,1377.359985,1383.609985,1376,1382.219971,2953540000,1382.219971
26/10/06,1382.209961,1389.449951,1379.469971,1389.079956,2793350000,1389.079956
27/10/06,1388.890015,1388.890015,1375.849976,1377.339966,2458450000,1377.339966
30/10/06,1377.300049,1381.219971,1373.459961,1377.930054,2770440000,1377.930054
31/10/06,1377.930054,1381.209961,1372.189941,1377.939941,2803030000,1377.939941
1/11/06,1377.76001,1381.949951,1366.26001,1367.810059,2821160000,1367.810059
2/11/06,1367.439941,1368.390015,1362.209961,1367.339966,2646180000,1367.339966
3/11/06,1367.310059,1371.680054,1360.97998,1364.300049,2419730000,1364.300049
6/11/06,1364.27002,1381.400024,1364.27002,1379.780029,2533550000,1379.780029
7/11/06,1379.75,1388.189941,1379.189941,1382.839966,2636390000,1382.839966
8/11/06,1382.5,1388.609985,1379.329956,1385.719971,2814820000,1385.719971
9/11/06,1385.430054,1388.920044,1377.310059,1378.329956,3012050000,1378.329956
10/11/06,1378.329956,1381.040039,1375.599976,1380.900024,2290200000,1380.900024
13/11/06,1380.579956,1387.609985,1378.800049,1384.420044,2386340000,1384.420044
14/11/06,1384.359985,1394.48999,1379.069946,1393.219971,3027480000,1393.219971
15/11/06,1392.910034,1401.349976,1392.130005,1396.569946,2831130000,1396.569946
16/11/06,1396.530029,1403.76001,1396.530029,1399.76001,2835730000,1399.76001
17/11/06,1399.76001,1401.209961,1394.550049,1401.199951,2726100000,1401.199951
20/11/06,1401.170044,1404.369995,1397.849976,1400.5,2546710000,1400.5
21/11/06,1400.430054,1403.48999,1399.98999,1402.810059,2597940000,1402.810059
22/11/06,1402.689941,1407.890015,1402.26001,1406.089966,2237710000,1406.089966
24/11/06,1405.939941,1405.939941,1399.25,1400.949951,832550000,1400.949951
