caldt,sprtrn
20070629,-0.001567
20070702,0.010696
20070703,0.003580
20070705,0.000348
20070706,0.003304
20070709,0.000921
20070710,-0.014185
20070711,0.005721
20070712,0.019055
20070713,0.003101
20070716,-0.001919
20070717,-0.000097
20070718,-0.002065
20070719,0.004469
20070720,-0.012221
20070723,0.004869
20070724,-0.019804
20070725,0.004666
20070726,-0.023339
20070727,-0.015992
20070730,0.010254
20070731,-0.012647
20070801,0.007243
20070802,0.004359
20070803,-0.026586
20070806,0.024151
20070807,0.006159
20070808,0.014072
20070809,-0.029650
20070810,0.000379
20070813,-0.000495
20070814,-0.018157
20070815,-0.013908
20070816,0.003249
20070817,0.024567
20070820,-0.000270
20070821,0.001086
20070822,0.011713
20070823,-0.001072
20070824,0.011535
20070827,-0.008504
20070828,-0.023473
20070829,0.021922
20070830,-0.004181
20070831,0.011217
20070904,0.010468
20070905,-0.011501
20070906,0.004252
20070907,-0.016908
20070910,-0.001273
20070911,0.013632
20070912,0.000048
20070913,0.008420
20070914,0.000202
20070917,-0.005120
20070918,0.029208
20070919,0.006086
20070920,-0.006723
20070921,0.004609
20070924,-0.005256
20070925,-0.000343
20070926,0.005411
20070927,0.003907
20070928,-0.003023
20071001,0.013290
20071002,-0.000265
20071003,-0.004552
20071004,0.002111
20071005,0.009560
20071008,-0.003217
20071009,0.008096
20071010,-0.001712
20071011,-0.005158
20071012,0.004754
20071015,-0.008381
20071016,-0.006573
20071017,0.001761
20071018,-0.000753
20071019,-0.025616
20071022,0.003798
20071023,0.008803
20071024,-0.002441
20071025,-0.000976
20071026,0.013788
20071029,0.003713
20071030,-0.006463
20071031,0.011992
20071101,-0.026423
20071102,0.000802
20071105,-0.004955
20071106,0.012049
20071107,-0.029370
20071108,-0.000576
20071109,-0.014287
20071112,-0.009988
20071113,0.029093
20071114,-0.007069
20071115,-0.013212
20071116,0.005230
20071119,-0.017460
20071120,0.004486
20071121,-0.015927
20071123,0.016891
20071126,-0.023239
20071127,0.014930
20071128,0.028560
20071129,0.000477
20071130,0.007770
20071203,-0.005887
20071204,-0.006540
20071205,0.015190
20071206,0.015037
20071207,-0.001778
20071210,0.007510
20071211,-0.025271
20071212,0.006050
20071213,0.001224
20071214,-0.013746
20071217,-0.015021
20071218,0.006280
20071219,-0.001361
20071220,0.004900
20071221,0.016670
20071224,0.008077
20071226,0.000809
20071227,-0.014216
20071228,0.001436
20071231,-0.006852
20080102,-0.014438
20080103,0.000000
20080104,-0.024552
20080107,0.003223
20080108,-0.018352
20080109,0.013624
20080110,0.007948
20080111,-0.013595
20080114,0.010871
20080115,-0.024925
20080116,-0.005612
20080117,-0.029093
20080118,-0.006045
20080122,-0.011085
20080123,0.021442
20080124,0.010063
20080125,-0.015872
20080128,0.017556
20080129,0.006152
20080130,-0.004764
20080131,0.016772
20080201,0.012238
20080204,-0.010463
20080205,-0.031995
20080206,-0.007624
20080207,0.007886
20080208,-0.004204
20080211,0.005889
20080212,0.007266
20080213,0.013604
20080214,-0.013421
20080215,0.000838
20080219,-0.000896
20080220,0.008341
20080221,-0.012867
20080222,0.007881
20080225,0.013813
20080226,0.006918
20080227,-0.000919
20080228,-0.008942
20080229,-0.027090
20080303,0.000534
20080304,-0.003448
20080305,0.005238
20080306,-0.022014
20080307,-0.008410
20080310,-0.015463
20080311,0.037130
20080312,-0.008996
20080313,0.005127
20080314,-0.020783
20080317,-0.008959
20080318,0.042410
20080319,-0.024287
20080320,0.023944
20080324,0.015321
20080325,0.002304
20080326,-0.008766
20080327,-0.011460
20080328,-0.007950
20080331,0.005687
20080401,0.035896
20080402,-0.001934
20080403,0.001302
20080404,0.000796
20080407,0.001562
20080408,-0.005100
20080409,-0.008092
20080410,0.004474
20080411,-0.020374
20080414,-0.003384
20080415,0.004600
20080416,0.022691
20080417,0.000623
20080418,0.018139
20080421,-0.001554
20080422,-0.008810
20080423,0.002900
20080424,0.006442
20080425,0.006495
20080428,-0.001052
20080429,-0.003889
20080430,-0.003846
20080501,0.017141
20080502,0.003236
20080505,-0.004534
20080506,0.007652
20080507,-0.018114
20080508,0.003669
20080509,-0.006725
20080512,0.011021
20080513,-0.000385
20080514,0.004006
20080515,0.010585
20080516,0.001250
20080519,0.000898
20080520,-0.009274
20080521,-0.016053
20080522,0.002617
20080523,-0.013210
20080527,0.006846
20080528,0.003963
20080529,0.005335
20080530,0.001516
20080602,-0.010504
20080603,-0.005788
20080604,-0.000327
20080605,0.019496
20080606,-0.030889
20080609,0.000794
20080610,-0.002438
20080611,-0.016894
20080612,0.003280
20080613,0.015046
20080616,0.000081
20080617,-0.006771
20080618,-0.009712
20080619,0.003752
20080620,-0.018543
20080623,0.000053
20080624,-0.002815
20080625,0.005843
20080626,-0.029365
20080627,-0.003717
20080630,0.001267
20080701,0.003836
20080702,-0.018204
20080703,0.001094
20080707,-0.008385
20080708,0.017080
20080709,-0.022776
20080710,0.006990
20080711,-0.011090
20080714,-0.009028
20080715,-0.010901
20080716,0.025064
20080717,0.012013
20080718,0.000286
20080721,-0.000539
20080722,0.013492
20080723,0.004064
20080724,-0.023125
20080725,0.004168
20080728,-0.018597
20080729,0.023356
20080730,0.016672
20080731,-0.013144
20080801,-0.005578
20080804,-0.008966
20080805,0.028719
20080806,0.003354
20080807,-0.017934
20080808,0.023893
20080811,0.006943
20080812,-0.012051
20080813,-0.002916
20080814,0.005522
20080815,0.004076
20080818,-0.015098
20080819,-0.009315
20080820,0.006197
20080821,0.002495
20080822,0.011333
20080825,-0.019625
20080826,0.003686
20080827,0.007983
20080828,0.014840
20080829,-0.013724
20080902,-0.004093
20080903,-0.002035
20080904,-0.029922
20080905,0.004431
20080908,0.020510
20080909,-0.034138
20080910,0.006149
20080911,0.013806
20080912,0.002122
20080915,-0.047136
20080916,0.017515
20080917,-0.047133
20080918,0.043342
20080919,0.040257
20080922,-0.038237
20080923,-0.015633
20080924,-0.001978
20080925,0.019656
20080926,0.003167
20080929,-0.087897
20080930,0.054203
20081001,-0.004544
20081002,-0.040291
20081003,-0.013506
20081006,-0.038518
20081007,-0.057395
20081008,-0.011333
20081009,-0.076167
20081010,-0.011759
20081013,0.115800
20081014,-0.005322
20081015,-0.090350
20081016,0.042507
20081017,-0.006213
20081020,0.047685
20081021,-0.030800
20081022,-0.061013
20081023,0.012634
20081024,-0.034511
20081027,-0.031764
20081028,0.107890
20081029,-0.011079
20081030,0.025804
20081031,0.015365
20081103,-0.002529
20081104,0.040826
20081105,-0.052677
20081106,-0.050264
20081107,0.028855
20081110,-0.012653
20081111,-0.022041
20081112,-0.051894
20081113,0.069213
20081114,-0.041699
20081117,-0.025810
20081118,0.009838
20081119,-0.061156
20081120,-0.067123
20081121,0.063248
20081124,0.064723
20081125,0.006551
20081126,0.035328
20081128,0.009643
20081201,-0.089295
20081202,0.039941
20081203,0.025836
20081204,-0.029308
20081205,0.036499
20081208,0.038387
20081209,-0.023118
20081210,0.011894
20081211,-0.028524
20081212,0.007028
20081215,-0.012686
20081216,0.051360
20081217,-0.009593
20081218,-0.021163
20081219,0.002937
20081222,-0.018302
20081223,-0.009717
20081224,0.005781
20081226,0.005356
20081229,-0.003873
20081230,0.024407
20081231,0.014158
20090102,0.031608
20090105,-0.004668
20090106,0.007817
20090107,-0.030010
20090108,0.003397
20090109,-0.021303
20090112,-0.022564
20090113,0.001758
20090114,-0.033460
20090115,0.001329
20090116,0.007562
20090120,-0.052816
20090121,0.043491
20090122,-0.015162
20090123,0.005378
20090126,0.005553
20090127,0.010926
